Row,Sheet,FieldLabel,CAS_Page,CAS_Selector,CAS_FieldName,CAS_Type,Notes
,,"PPB Description (Required for High Maturity)",/performance-report,"#PPBDescription",PPBDescription,text,
,,"PPM Description of Analysis (Required for High Maturity)",/performance-report,"#PPMDescription",PPMDescription,text,
,,"* Type of Improvement or Action Needed",/performance-report,"#TypeofImprovementorActionNeeded",TypeofImprovementorActionNeeded,text,
,,"Causal Analysis Data Including Potential Root Cause (Required for High Maturity)",/performance-report,"#PotentialRootCause",PotentialRootCause,text,
,,"* Business Benefit",/performance-report,"#BusinessBenefit",BusinessBenefit,text,
,,"* Sustaining Habit and Persistence",/performance-report,"#SustainingHabitAndPersistence",SustainingHabitAndPersistence,text,
,,"* Related Model Practices",/performance-report,"#RelatedModelPractices",RelatedModelPractices,text,
,,"Appraisal Team Comments",/performance-report,"#AppraisalTeamComments",AppraisalTeamComments,text,
,,"Type",/optional-outputs,"select[name="Type"]",Type,select,Options: Other...
,,"* Other Optional Output
      Name the optional output if "other" was selected from the dropdown.",/optional-outputs,"#Name",Name,text,
,,"* Description of output delivery
    Provide a detailed description of how this output will be delivered to the sponsor.",/optional-outputs,"#Description",Description,textarea,
,,"* Owner
    Specity the owner of each output",/optional-outputs,"#Owner",Owner,textarea,
,,"* Controls or Restrictions On Use",/optional-outputs,"#ControlsOrRestrictions",ControlsOrRestrictions,textarea,
